(before (at a1 c1)),(before (at a1 c2)),(before (at a1 c3)),(before (at a2 c1)),(before (at a2 c3)),(before (at p1 c1)),(before (at p2 c1)),(before (at p3 c3)),(before (at p4 c3)),(before (at p5 c3)),(before (fuel_level a1 f1)),(before (fuel_level a1 f2)),(before (fuel_level a2 f1)),(before (fuel_level a2 f2)),(before (fuel_level a2 f3)),(before (fuel_level a2 f4)),(before (in p1 a1)),(before (in p1 a2)),(before (in p2 a1)),(before (in p2 a2)),(before (in p3 a2)),(before (in p4 a2)),(before (in p5 a2)),(after (at a1 c1)),(after (at a1 c2)),(after (at a1 c3)),(after (at a2 c1)),(after (at a2 c2)),(after (at a2 c3)),(after (at p1 c1)),(after (at p1 c2)),(after (at p1 c3)),(after (at p2 c1)),(after (at p2 c2)),(after (at p2 c3)),(after (at p3 c1)),(after (at p3 c2)),(after (at p3 c3)),(after (at p4 c1)),(after (at p4 c2)),(after (at p4 c3)),(after (at p5 c1)),(after (at p5 c2)),(after (at p5 c3)),(after (fuel_level a1 f1)),(after (fuel_level a1 f2)),(after (fuel_level a1 f3)),(after (fuel_level a1 f4)),(after (fuel_level a1 f5)),(after (fuel_level a2 f1)),(after (fuel_level a2 f2)),(after (fuel_level a2 f3)),(after (fuel_level a2 f4)),(after (fuel_level a2 f5)),(after (in p1 a1)),(after (in p1 a2)),(after (in p2 a1)),(after (in p2 a2)),(after (in p3 a1)),(after (in p3 a2)),(after (in p4 a1)),(after (in p4 a2)),(after (in p5 a1)),(after (in p5 a2)),(after (is_aircraft a1)),(after (is_aircraft a2)),(after (is_person p1)),(after (is_person p2)),(after (is_person p3)),(after (is_person p4)),(after (is_person p5)),(after (next f1 f1)),(after (next f1 f2)),(after (next f1 f3)),(after (next f1 f4)),(after (next f1 f5)),(after (next f2 f1)),(after (next f2 f2)),(after (next f2 f3)),(after (next f2 f4)),(after (next f2 f5)),(after (next f3 f1)),(after (next f3 f2)),(after (next f3 f3)),(after (next f3 f4)),(after (next f3 f5)),(after (next f4 f1)),(after (next f4 f2)),(after (next f4 f3)),(after (next f4 f4)),(after (next f4 f5)),(after (next f5 f1)),(after (next f5 f2)),(after (next f5 f3)),(after (next f5 f4)),(after (next f5 f5)),Decision
True,False,False,True,False,True,False,True,True,True,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,True,True,True,True,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,(refuel a1 c1 f1 f2)
True,False,False,True,False,False,False,True,True,True,True,False,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,True,True,True,True,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,(debark p1 a2 c1)
True,False,False,True,False,True,False,True,True,True,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,True,True,True,True,True,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,(board p1 a2 c1)
True,False,False,False,True,True,False,True,True,True,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,True,True,True,True,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,(fly a2 c3 c1 f4 f3)
True,False,False,False,True,True,False,True,True,True,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True,True,True,True,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,(refuel a2 c3 f3 f4)
True,False,False,False,True,True,False,True,True,True,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,True,True,True,True,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,(refuel a2 c3 f2 f3)
True,False,False,False,True,True,False,False,True,True,True,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,True,True,True,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,(debark p3 a2 c3)
True,False,False,False,True,True,False,False,True,False,True,False,False,True,False,False,False,False,True,False,True,False,True,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,True,True,True,True,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,(debark p5 a2 c3)
True,False,False,False,True,True,True,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,True,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,True,True,True,True,True,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,(board p2 a1 c1)
True,False,False,False,True,False,True,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False,True,True,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,True,True,True,True,True,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,(debark p1 a1 c1)
True,False,False,False,True,True,True,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,True,True,True,True,True,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,(board p1 a1 c1)
True,False,False,False,True,True,True,False,True,True,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,True,True,True,True,True,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,(board p5 a2 c3)
True,False,False,False,True,True,True,True,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True,True,True,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,(board p3 a2 c3)
True,False,False,False,True,True,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,(refuel a2 c3 f1 f2)
False,True,False,False,True,True,True,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,(fly a1 c2 c1 f2 f1)
False,True,False,False,True,True,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,(refuel a1 c2 f1 f2)
