(before (clear b11)),(before (clear b12)),(before (clear b3)),(before (clear b4)),(before (clear b6)),(before (clear b7)),(before (handempty)),(before (holding b12)),(before (holding b3)),(before (holding b4)),(before (holding b6)),(before (holding b7)),(before (on b12 b11)),(before (on b3 b12)),(before (on b4 b6)),(before (on b4 b7)),(before (on b6 b4)),(before (on b6 b7)),(before (on b7 b3)),(before (on b7 b6)),(before (ontable b3)),(before (ontable b4)),(before (ontable b6)),(after (clear b1)),(after (clear b10)),(after (clear b11)),(after (clear b12)),(after (clear b2)),(after (clear b3)),(after (clear b4)),(after (clear b5)),(after (clear b6)),(after (clear b7)),(after (clear b8)),(after (clear b9)),(after (handempty)),(after (holding b12)),(after (holding b3)),(after (holding b4)),(after (holding b6)),(after (holding b7)),(after (on b1 b1)),(after (on b1 b10)),(after (on b1 b11)),(after (on b1 b12)),(after (on b1 b2)),(after (on b1 b3)),(after (on b1 b4)),(after (on b1 b5)),(after (on b1 b6)),(after (on b1 b7)),(after (on b1 b8)),(after (on b1 b9)),(after (on b10 b1)),(after (on b10 b10)),(after (on b10 b11)),(after (on b10 b12)),(after (on b10 b2)),(after (on b10 b3)),(after (on b10 b4)),(after (on b10 b5)),(after (on b10 b6)),(after (on b10 b7)),(after (on b10 b8)),(after (on b10 b9)),(after (on b11 b1)),(after (on b11 b10)),(after (on b11 b11)),(after (on b11 b12)),(after (on b11 b2)),(after (on b11 b3)),(after (on b11 b4)),(after (on b11 b5)),(after (on b11 b6)),(after (on b11 b7)),(after (on b11 b8)),(after (on b11 b9)),(after (on b12 b1)),(after (on b12 b10)),(after (on b12 b11)),(after (on b12 b12)),(after (on b12 b2)),(after (on b12 b3)),(after (on b12 b4)),(after (on b12 b5)),(after (on b12 b6)),(after (on b12 b7)),(after (on b12 b8)),(after (on b12 b9)),(after (on b2 b1)),(after (on b2 b10)),(after (on b2 b11)),(after (on b2 b12)),(after (on b2 b2)),(after (on b2 b3)),(after (on b2 b4)),(after (on b2 b5)),(after (on b2 b6)),(after (on b2 b7)),(after (on b2 b8)),(after (on b2 b9)),(after (on b3 b1)),(after (on b3 b10)),(after (on b3 b11)),(after (on b3 b12)),(after (on b3 b2)),(after (on b3 b3)),(after (on b3 b4)),(after (on b3 b5)),(after (on b3 b6)),(after (on b3 b7)),(after (on b3 b8)),(after (on b3 b9)),(after (on b4 b1)),(after (on b4 b10)),(after (on b4 b11)),(after (on b4 b12)),(after (on b4 b2)),(after (on b4 b3)),(after (on b4 b4)),(after (on b4 b5)),(after (on b4 b6)),(after (on b4 b7)),(after (on b4 b8)),(after (on b4 b9)),(after (on b5 b1)),(after (on b5 b10)),(after (on b5 b11)),(after (on b5 b12)),(after (on b5 b2)),(after (on b5 b3)),(after (on b5 b4)),(after (on b5 b5)),(after (on b5 b6)),(after (on b5 b7)),(after (on b5 b8)),(after (on b5 b9)),(after (on b6 b1)),(after (on b6 b10)),(after (on b6 b11)),(after (on b6 b12)),(after (on b6 b2)),(after (on b6 b3)),(after (on b6 b4)),(after (on b6 b5)),(after (on b6 b6)),(after (on b6 b7)),(after (on b6 b8)),(after (on b6 b9)),(after (on b7 b1)),(after (on b7 b10)),(after (on b7 b11)),(after (on b7 b12)),(after (on b7 b2)),(after (on b7 b3)),(after (on b7 b4)),(after (on b7 b5)),(after (on b7 b6)),(after (on b7 b7)),(after (on b7 b8)),(after (on b7 b9)),(after (on b8 b1)),(after (on b8 b10)),(after (on b8 b11)),(after (on b8 b12)),(after (on b8 b2)),(after (on b8 b3)),(after (on b8 b4)),(after (on b8 b5)),(after (on b8 b6)),(after (on b8 b7)),(after (on b8 b8)),(after (on b8 b9)),(after (on b9 b1)),(after (on b9 b10)),(after (on b9 b11)),(after (on b9 b12)),(after (on b9 b2)),(after (on b9 b3)),(after (on b9 b4)),(after (on b9 b5)),(after (on b9 b6)),(after (on b9 b7)),(after (on b9 b8)),(after (on b9 b9)),(after (ontable b1)),(after (ontable b10)),(after (ontable b11)),(after (ontable b12)),(after (ontable b2)),(after (ontable b3)),(after (ontable b4)),(after (ontable b5)),(after (ontable b6)),(after (ontable b7)),(after (ontable b8)),(after (ontable b9)),Decision
False,False,False,True,True,True,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,(pick-up b6)
False,False,False,False,True,True,False,False,False,True,False,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,(put-down b4)
False,False,False,True,True,True,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,(pick-up b4)
False,False,False,True,True,False,True,False,False,False,False,False,True,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,(unstack b4 b7)
False,False,False,False,True,True,False,False,False,True,False,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,(stack b4 b7)
False,False,False,True,False,True,True,False,False,False,False,False,True,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,(unstack b4 b6)
False,False,True,True,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,(stack b7 b3)
False,False,False,True,False,True,True,False,False,False,False,False,True,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,(unstack b7 b3)
False,False,False,False,True,True,False,False,False,True,False,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,(stack b4 b6)
False,False,False,True,False,True,False,False,False,False,True,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,(put-down b6)
False,False,False,True,True,False,True,False,False,False,False,False,True,True,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,(unstack b6 b7)
False,False,False,False,True,False,False,False,False,True,False,False,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,(put-down b4)
False,False,False,True,False,False,True,False,False,False,False,False,True,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,(unstack b4 b6)
False,False,False,False,True,False,False,False,False,True,False,False,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,(stack b4 b6)
