(before (at p2 l1)),(before (at p3 l1)),(before (at p5 l4)),(before (at v1 l1)),(before (at v1 l2)),(before (at v1 l3)),(before (at v1 l4)),(before (at v1 l5)),(before (at v1 l6)),(before (capacity v1 c1)),(before (capacity v1 c2)),(before (capacity v1 c3)),(before (in p2 v1)),(before (in p3 v1)),(before (in p5 v1)),(after (at p1 l1)),(after (at p1 l2)),(after (at p1 l3)),(after (at p1 l4)),(after (at p1 l5)),(after (at p1 l6)),(after (at p2 l1)),(after (at p2 l2)),(after (at p2 l3)),(after (at p2 l4)),(after (at p2 l5)),(after (at p2 l6)),(after (at p3 l1)),(after (at p3 l2)),(after (at p3 l3)),(after (at p3 l4)),(after (at p3 l5)),(after (at p3 l6)),(after (at p4 l1)),(after (at p4 l2)),(after (at p4 l3)),(after (at p4 l4)),(after (at p4 l5)),(after (at p4 l6)),(after (at p5 l1)),(after (at p5 l2)),(after (at p5 l3)),(after (at p5 l4)),(after (at p5 l5)),(after (at p5 l6)),(after (at v1 l1)),(after (at v1 l2)),(after (at v1 l3)),(after (at v1 l4)),(after (at v1 l5)),(after (at v1 l6)),(after (capacity v1 c1)),(after (capacity v1 c2)),(after (capacity v1 c3)),(after (capacity-predecessor c1 c1)),(after (capacity-predecessor c1 c2)),(after (capacity-predecessor c1 c3)),(after (capacity-predecessor c2 c1)),(after (capacity-predecessor c2 c2)),(after (capacity-predecessor c2 c3)),(after (capacity-predecessor c3 c1)),(after (capacity-predecessor c3 c2)),(after (capacity-predecessor c3 c3)),(after (in p1 v1)),(after (in p2 v1)),(after (in p3 v1)),(after (in p4 v1)),(after (in p5 v1)),(after (is_package p1)),(after (is_package p2)),(after (is_package p3)),(after (is_package p4)),(after (is_package p5)),(after (is_vehicle v1)),(after (road l1 l1)),(after (road l1 l2)),(after (road l1 l3)),(after (road l1 l4)),(after (road l1 l5)),(after (road l1 l6)),(after (road l2 l1)),(after (road l2 l2)),(after (road l2 l3)),(after (road l2 l4)),(after (road l2 l5)),(after (road l2 l6)),(after (road l3 l1)),(after (road l3 l2)),(after (road l3 l3)),(after (road l3 l4)),(after (road l3 l5)),(after (road l3 l6)),(after (road l4 l1)),(after (road l4 l2)),(after (road l4 l3)),(after (road l4 l4)),(after (road l4 l5)),(after (road l4 l6)),(after (road l5 l1)),(after (road l5 l2)),(after (road l5 l3)),(after (road l5 l4)),(after (road l5 l5)),(after (road l5 l6)),(after (road l6 l1)),(after (road l6 l2)),(after (road l6 l3)),(after (road l6 l4)),(after (road l6 l5)),(after (road l6 l6)),Decision
True,False,True,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,True,True,True,True,True,False,False,True,True,True,False,False,False,False,False,False,True,True,False,False,False,False,True,True,False,False,False,True,False,True,False,False,True,False,False,False,True,True,False,False,False,(drive v1 l1 l4)
False,False,True,True,False,False,False,False,False,True,False,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,True,True,True,True,True,False,False,True,True,True,False,False,False,False,False,False,True,True,False,False,False,False,True,True,False,False,False,True,False,True,False,False,True,False,False,False,True,True,False,False,False,(drop v1 l1 p2 c1 c2)
False,True,True,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,True,False,False,True,True,True,True,True,True,False,False,True,True,True,False,False,False,False,False,False,True,True,False,False,False,False,True,True,False,False,False,True,False,True,False,False,True,False,False,False,True,True,False,False,False,(pick-up v1 l1 p3 c1 c2)
False,True,True,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,True,True,True,True,True,False,False,True,True,True,False,False,False,False,False,False,True,True,False,False,False,False,True,True,False,False,False,True,False,True,False,False,True,False,False,False,True,True,False,False,False,(drive v1 l5 l1)
False,True,True,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,True,True,True,True,True,False,False,True,True,True,False,False,False,False,False,False,True,True,False,False,False,False,True,True,False,False,False,True,False,True,False,False,True,False,False,False,True,True,False,False,False,(drive v1 l1 l5)
True,True,True,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,True,True,True,True,True,False,False,True,True,True,False,False,False,False,False,False,True,True,False,False,False,False,True,True,False,False,False,True,False,True,False,False,True,False,False,False,True,True,False,False,False,(pick-up v1 l1 p2 c2 c3)
False,True,True,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,True,True,True,False,False,False,False,False,False,True,True,False,False,False,False,True,True,False,False,False,True,False,True,False,False,True,False,False,False,True,True,False,False,False,(drop v1 l1 p2 c2 c3)
True,True,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,True,True,True,False,False,False,False,False,False,True,True,False,False,False,False,True,True,False,False,False,True,False,True,False,False,True,False,False,False,True,True,False,False,False,(drive v1 l4 l1)
True,True,True,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,True,True,True,False,False,False,False,False,False,True,True,False,False,False,False,True,True,False,False,False,True,False,True,False,False,True,False,False,False,True,True,False,False,False,(drive v1 l1 l4)
True,True,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,True,True,True,False,False,False,False,False,False,True,True,False,False,False,False,True,True,False,False,False,True,False,True,False,False,True,False,False,False,True,True,False,False,False,(drive v1 l3 l1)
True,True,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,True,True,True,False,False,False,False,False,False,True,True,False,False,False,False,True,True,False,False,False,True,False,True,False,False,True,False,False,False,True,True,False,False,False,(drive v1 l6 l3)
True,True,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,True,True,True,False,False,False,False,False,False,True,True,False,False,False,False,True,True,False,False,False,True,False,True,False,False,True,False,False,False,True,True,False,False,False,(drive v1 l2 l6)
True,True,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,True,True,True,False,False,False,False,False,False,True,True,False,False,False,False,True,True,False,False,False,True,False,True,False,False,True,False,False,False,True,True,False,False,False,(drive v1 l6 l2)
True,True,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,True,True,True,False,False,False,False,False,False,True,True,False,False,False,False,True,True,False,False,False,True,False,True,False,False,True,False,False,False,True,True,False,False,False,(drive v1 l3 l6)
