(before (at b1 r1)),(before (at b1 r2)),(before (at b1 r3)),(before (at b2 r1)),(before (at b2 r2)),(before (at b2 r3)),(before (at b3 r1)),(before (at b3 r2)),(before (at b3 r3)),(before (at b4 r1)),(before (at b4 r2)),(before (at b4 r3)),(before (at b5 r1)),(before (at b5 r2)),(before (at b5 r3)),(before (at b6 r1)),(before (at b6 r2)),(before (at b6 r3)),(before (at b7 r1)),(before (at b7 r2)),(before (at b7 r3)),(before (at b8 r1)),(before (at b8 r2)),(before (at b8 r3)),(before (at-robby r1)),(before (at-robby r2)),(before (at-robby r3)),(before (carry b1 g1)),(before (carry b1 g2)),(before (carry b2 g1)),(before (carry b2 g2)),(before (carry b3 g1)),(before (carry b3 g2)),(before (carry b4 g1)),(before (carry b4 g2)),(before (carry b5 g1)),(before (carry b5 g2)),(before (carry b6 g1)),(before (carry b6 g2)),(before (carry b7 g1)),(before (carry b7 g2)),(before (carry b8 g1)),(before (carry b8 g2)),(before (free g1)),(before (free g2)),action,(after (at b1 r1)),(after (at b1 r2)),(after (at b1 r3)),(after (at b2 r1)),(after (at b2 r2)),(after (at b2 r3)),(after (at b3 r1)),(after (at b3 r2)),(after (at b3 r3)),(after (at b4 r1)),(after (at b4 r2)),(after (at b4 r3)),(after (at b5 r1)),(after (at b5 r2)),(after (at b5 r3)),(after (at b6 r1)),(after (at b6 r2)),(after (at b6 r3)),(after (at b7 r1)),(after (at b7 r2)),(after (at b7 r3)),(after (at b8 r1)),(after (at b8 r2)),(after (at b8 r3)),(after (at-robby r1)),(after (at-robby r2)),(after (at-robby r3)),(after (carry b1 g1)),(after (carry b1 g2)),(after (carry b2 g1)),(after (carry b2 g2)),(after (carry b3 g1)),(after (carry b3 g2)),(after (carry b4 g1)),(after (carry b4 g2)),(after (carry b5 g1)),(after (carry b5 g2)),(after (carry b6 g1)),(after (carry b6 g2)),(after (carry b7 g1)),(after (carry b7 g2)),(after (carry b8 g1)),(after (carry b8 g2)),(after (free g1)),(after (free g2))
true,false,false,true,false,false,false,true,false,false,false,true,true,false,false,false,true,false,false,false,true,false,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,(pick b7 r3 g2),true,false,false,true,false,false,false,true,false,false,false,true,true,false,false,false,true,false,false,false,false,false,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false
true,false,false,true,false,false,false,true,false,false,false,true,true,false,false,false,true,false,false,false,false,false,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,(drop b7 r3 g1),true,false,false,true,false,false,false,true,false,false,false,true,true,false,false,false,true,false,false,false,true,false,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true
true,false,false,true,false,false,false,true,false,false,false,true,true,false,false,false,true,false,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,(move r2 r3),true,false,false,true,false,false,false,true,false,false,false,true,true,false,false,false,true,false,false,false,false,false,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true
true,false,false,true,false,false,false,true,false,false,false,true,true,false,false,false,true,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,(move r1 r2),true,false,false,true,false,false,false,true,false,false,false,true,true,false,false,false,true,false,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true
true,false,false,true,false,false,false,true,false,false,false,true,true,false,false,false,true,false,false,false,false,false,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,(move r3 r1),true,false,false,true,false,false,false,true,false,false,false,true,true,false,false,false,true,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true
true,false,false,true,false,false,false,true,false,false,false,false,true,false,false,false,true,false,false,false,false,false,false,true,false,false,true,false,false,false,false,false,false,false,true,false,false,false,false,true,false,false,false,false,false,(drop b4 r3 g2),true,false,false,true,false,false,false,true,false,false,false,true,true,false,false,false,true,false,false,false,false,false,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true
true,false,false,true,false,false,false,true,false,false,false,false,true,false,false,false,true,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,false,false,false,false,false,(move r1 r3),true,false,false,true,false,false,false,true,false,false,false,false,true,false,false,false,true,false,false,false,false,false,false,true,false,false,true,false,false,false,false,false,false,false,true,false,false,false,false,true,false,false,false,false,false
true,false,false,true,false,false,false,true,false,true,false,false,true,false,false,false,true,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,(pick b4 r1 g2),true,false,false,true,false,false,false,true,false,false,false,false,true,false,false,false,true,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,false,false,false,false,false
true,false,false,true,false,false,false,true,false,true,false,false,true,false,false,false,true,false,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,(move r2 r1),true,false,false,true,false,false,false,true,false,true,false,false,true,false,false,false,true,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true
true,false,false,true,false,false,false,true,false,true,false,false,true,false,false,false,true,false,false,true,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,(pick b7 r2 g1),true,false,false,true,false,false,false,true,false,true,false,false,true,false,false,false,true,false,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true
