(before (at ball1 rooma)),(before (at ball2 rooma)),(before (at ball3 rooma)),(before (at ball4 rooma)),(before (at ball5 rooma)),(before (at ball7 rooma)),(before (at ball8 rooma)),(before (at ball8 roomb)),(before (at-robby rooma)),(before (at-robby roomb)),(before (carry ball1 left)),(before (carry ball1 right)),(before (carry ball2 left)),(before (carry ball2 right)),(before (carry ball3 left)),(before (carry ball3 right)),(before (carry ball4 left)),(before (carry ball5 left)),(before (carry ball5 right)),(before (carry ball7 left)),(before (carry ball7 right)),(before (carry ball8 left)),(before (carry ball8 right)),(before (free left)),(before (free right)),(after (at ball1 rooma)),(after (at ball2 rooma)),(after (at ball3 rooma)),(after (at ball4 rooma)),(after (at ball5 rooma)),(after (at ball6 rooma)),(after (at ball7 rooma)),(after (at ball8 rooma)),(after (at ball8 roomb)),(after (at-robby rooma)),(after (at-robby roomb)),(after (carry ball1 left)),(after (carry ball1 right)),(after (carry ball2 left)),(after (carry ball2 right)),(after (carry ball3 left)),(after (carry ball3 right)),(after (carry ball4 left)),(after (carry ball5 left)),(after (carry ball5 right)),(after (carry ball7 left)),(after (carry ball7 right)),(after (carry ball8 left)),(after (carry ball8 right)),(after (free left)),(after (free right)),Decision
True,True,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,True,True,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,(pick ball4 rooma left)
True,True,True,False,True,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,True,True,False,True,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,(pick ball8 rooma right)
True,True,True,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,True,True,True,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,(drop ball4 rooma left)
True,True,True,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,True,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,(drop ball8 rooma right)
False,True,True,True,True,True,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,(drop ball1 rooma right)
True,True,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,True,True,True,True,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,(pick ball1 rooma right)
True,True,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,(pick ball7 rooma right)
True,True,True,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,True,True,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,(drop ball7 rooma right)
True,True,True,False,True,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,(drop ball4 rooma left)
True,True,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,(pick ball7 rooma left)
True,True,True,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,(drop ball7 rooma left)
