(before (calibration-target i1 d10)),(before (calibration-target i1 d5)),(before (calibration-target i2 d6)),(before (calibration-target i2 d9)),(before (calibration-target i3 d2)),(before (calibration-target i3 d5)),(before (calibration-target i5 d10)),(before (calibration-target i5 d3)),(before (on-board i1 s1)),(before (on-board i1 s3)),(before (on-board i2 s2)),(before (on-board i2 s3)),(before (on-board i3 s1)),(before (on-board i3 s5)),(before (on-board i4 s1)),(before (on-board i4 s3)),(before (on-board i5 s3)),(before (on-board i5 s5)),(before (pointing s1 d10)),(before (pointing s1 d11)),(before (pointing s1 d12)),(before (pointing s1 d13)),(before (pointing s1 d14)),(before (pointing s1 d15)),(before (pointing s1 d2)),(before (pointing s1 d3)),(before (pointing s1 d4)),(before (pointing s1 d5)),(before (pointing s1 d6)),(before (pointing s1 d7)),(before (pointing s1 d8)),(before (pointing s1 d9)),(before (pointing s2 d1)),(before (pointing s2 d10)),(before (pointing s2 d11)),(before (pointing s2 d12)),(before (pointing s2 d13)),(before (pointing s2 d14)),(before (pointing s2 d15)),(before (pointing s2 d2)),(before (pointing s2 d3)),(before (pointing s2 d4)),(before (pointing s2 d5)),(before (pointing s2 d6)),(before (pointing s2 d7)),(before (pointing s2 d8)),(before (pointing s2 d9)),(before (pointing s3 d1)),(before (pointing s3 d10)),(before (pointing s3 d11)),(before (pointing s3 d12)),(before (pointing s3 d13)),(before (pointing s3 d14)),(before (pointing s3 d15)),(before (pointing s3 d2)),(before (pointing s3 d3)),(before (pointing s3 d4)),(before (pointing s3 d5)),(before (pointing s3 d6)),(before (pointing s3 d7)),(before (pointing s3 d8)),(before (pointing s3 d9)),(before (pointing s4 d1)),(before (pointing s4 d10)),(before (pointing s4 d11)),(before (pointing s4 d13)),(before (pointing s4 d14)),(before (pointing s4 d15)),(before (pointing s4 d2)),(before (pointing s4 d4)),(before (pointing s4 d5)),(before (pointing s4 d6)),(before (pointing s4 d7)),(before (pointing s4 d8)),(before (pointing s4 d9)),(before (pointing s5 d1)),(before (pointing s5 d10)),(before (pointing s5 d11)),(before (pointing s5 d12)),(before (pointing s5 d13)),(before (pointing s5 d14)),(before (pointing s5 d15)),(before (pointing s5 d4)),(before (pointing s5 d5)),(before (pointing s5 d6)),(before (pointing s5 d7)),(before (pointing s5 d8)),(before (pointing s5 d9)),(before (power-avail s1)),(before (power-avail s2)),(before (power-avail s3)),(before (power-on i1)),(before (power-on i2)),(before (power-on i4)),(before (power-on s1)),(before (power-on s4)),(before (supports i1 m2)),(before (supports i1 m3)),(before (supports i1 m5)),(before (supports i2 m1)),(before (supports i2 m2)),(before (supports i2 m3)),(before (supports i3 m2)),(before (supports i5 m4)),(after (calibrated i1)),(after (calibrated i2)),(after (calibrated i3)),(after (calibrated i4)),(after (calibrated i5)),(after (calibration-target i1 d1)),(after (calibration-target i1 d10)),(after (calibration-target i1 d11)),(after (calibration-target i1 d12)),(after (calibration-target i1 d13)),(after (calibration-target i1 d14)),(after (calibration-target i1 d15)),(after (calibration-target i1 d2)),(after (calibration-target i1 d3)),(after (calibration-target i1 d4)),(after (calibration-target i1 d5)),(after (calibration-target i1 d6)),(after (calibration-target i1 d7)),(after (calibration-target i1 d8)),(after (calibration-target i1 d9)),(after (calibration-target i2 d1)),(after (calibration-target i2 d10)),(after (calibration-target i2 d11)),(after (calibration-target i2 d12)),(after (calibration-target i2 d13)),(after (calibration-target i2 d14)),(after (calibration-target i2 d15)),(after (calibration-target i2 d2)),(after (calibration-target i2 d3)),(after (calibration-target i2 d4)),(after (calibration-target i2 d5)),(after (calibration-target i2 d6)),(after (calibration-target i2 d7)),(after (calibration-target i2 d8)),(after (calibration-target i2 d9)),(after (calibration-target i3 d1)),(after (calibration-target i3 d10)),(after (calibration-target i3 d11)),(after (calibration-target i3 d12)),(after (calibration-target i3 d13)),(after (calibration-target i3 d14)),(after (calibration-target i3 d15)),(after (calibration-target i3 d2)),(after (calibration-target i3 d3)),(after (calibration-target i3 d4)),(after (calibration-target i3 d5)),(after (calibration-target i3 d6)),(after (calibration-target i3 d7)),(after (calibration-target i3 d8)),(after (calibration-target i3 d9)),(after (calibration-target i4 d1)),(after (calibration-target i4 d10)),(after (calibration-target i4 d11)),(after (calibration-target i4 d12)),(after (calibration-target i4 d13)),(after (calibration-target i4 d14)),(after (calibration-target i4 d15)),(after (calibration-target i4 d2)),(after (calibration-target i4 d3)),(after (calibration-target i4 d4)),(after (calibration-target i4 d5)),(after (calibration-target i4 d6)),(after (calibration-target i4 d7)),(after (calibration-target i4 d8)),(after (calibration-target i4 d9)),(after (calibration-target i5 d1)),(after (calibration-target i5 d10)),(after (calibration-target i5 d11)),(after (calibration-target i5 d12)),(after (calibration-target i5 d13)),(after (calibration-target i5 d14)),(after (calibration-target i5 d15)),(after (calibration-target i5 d2)),(after (calibration-target i5 d3)),(after (calibration-target i5 d4)),(after (calibration-target i5 d5)),(after (calibration-target i5 d6)),(after (calibration-target i5 d7)),(after (calibration-target i5 d8)),(after (calibration-target i5 d9)),(after (have-image d1 m1)),(after (have-image d1 m2)),(after (have-image d1 m3)),(after (have-image d1 m4)),(after (have-image d1 m5)),(after (have-image d10 m1)),(after (have-image d10 m2)),(after (have-image d10 m3)),(after (have-image d10 m4)),(after (have-image d10 m5)),(after (have-image d11 m1)),(after (have-image d11 m2)),(after (have-image d11 m3)),(after (have-image d11 m4)),(after (have-image d11 m5)),(after (have-image d12 m1)),(after (have-image d12 m2)),(after (have-image d12 m3)),(after (have-image d12 m4)),(after (have-image d12 m5)),(after (have-image d13 m1)),(after (have-image d13 m2)),(after (have-image d13 m3)),(after (have-image d13 m4)),(after (have-image d13 m5)),(after (have-image d14 m1)),(after (have-image d14 m2)),(after (have-image d14 m3)),(after (have-image d14 m4)),(after (have-image d14 m5)),(after (have-image d15 m1)),(after (have-image d15 m2)),(after (have-image d15 m3)),(after (have-image d15 m4)),(after (have-image d15 m5)),(after (have-image d2 m1)),(after (have-image d2 m2)),(after (have-image d2 m3)),(after (have-image d2 m4)),(after (have-image d2 m5)),(after (have-image d3 m1)),(after (have-image d3 m2)),(after (have-image d3 m3)),(after (have-image d3 m4)),(after (have-image d3 m5)),(after (have-image d4 m1)),(after (have-image d4 m2)),(after (have-image d4 m3)),(after (have-image d4 m4)),(after (have-image d4 m5)),(after (have-image d5 m1)),(after (have-image d5 m2)),(after (have-image d5 m3)),(after (have-image d5 m4)),(after (have-image d5 m5)),(after (have-image d6 m1)),(after (have-image d6 m2)),(after (have-image d6 m3)),(after (have-image d6 m4)),(after (have-image d6 m5)),(after (have-image d7 m1)),(after (have-image d7 m2)),(after (have-image d7 m3)),(after (have-image d7 m4)),(after (have-image d7 m5)),(after (have-image d8 m1)),(after (have-image d8 m2)),(after (have-image d8 m3)),(after (have-image d8 m4)),(after (have-image d8 m5)),(after (have-image d9 m1)),(after (have-image d9 m2)),(after (have-image d9 m3)),(after (have-image d9 m4)),(after (have-image d9 m5)),(after (on-board i1 s1)),(after (on-board i1 s2)),(after (on-board i1 s3)),(after (on-board i1 s4)),(after (on-board i1 s5)),(after (on-board i2 s1)),(after (on-board i2 s2)),(after (on-board i2 s3)),(after (on-board i2 s4)),(after (on-board i2 s5)),(after (on-board i3 s1)),(after (on-board i3 s2)),(after (on-board i3 s3)),(after (on-board i3 s4)),(after (on-board i3 s5)),(after (on-board i4 s1)),(after (on-board i4 s2)),(after (on-board i4 s3)),(after (on-board i4 s4)),(after (on-board i4 s5)),(after (on-board i5 s1)),(after (on-board i5 s2)),(after (on-board i5 s3)),(after (on-board i5 s4)),(after (on-board i5 s5)),(after (pointing s1 d1)),(after (pointing s1 d10)),(after (pointing s1 d11)),(after (pointing s1 d12)),(after (pointing s1 d13)),(after (pointing s1 d14)),(after (pointing s1 d15)),(after (pointing s1 d2)),(after (pointing s1 d3)),(after (pointing s1 d4)),(after (pointing s1 d5)),(after (pointing s1 d6)),(after (pointing s1 d7)),(after (pointing s1 d8)),(after (pointing s1 d9)),(after (pointing s2 d1)),(after (pointing s2 d10)),(after (pointing s2 d11)),(after (pointing s2 d12)),(after (pointing s2 d13)),(after (pointing s2 d14)),(after (pointing s2 d15)),(after (pointing s2 d2)),(after (pointing s2 d3)),(after (pointing s2 d4)),(after (pointing s2 d5)),(after (pointing s2 d6)),(after (pointing s2 d7)),(after (pointing s2 d8)),(after (pointing s2 d9)),(after (pointing s3 d1)),(after (pointing s3 d10)),(after (pointing s3 d11)),(after (pointing s3 d12)),(after (pointing s3 d13)),(after (pointing s3 d14)),(after (pointing s3 d15)),(after (pointing s3 d2)),(after (pointing s3 d3)),(after (pointing s3 d4)),(after (pointing s3 d5)),(after (pointing s3 d6)),(after (pointing s3 d7)),(after (pointing s3 d8)),(after (pointing s3 d9)),(after (pointing s4 d1)),(after (pointing s4 d10)),(after (pointing s4 d11)),(after (pointing s4 d12)),(after (pointing s4 d13)),(after (pointing s4 d14)),(after (pointing s4 d15)),(after (pointing s4 d2)),(after (pointing s4 d3)),(after (pointing s4 d4)),(after (pointing s4 d5)),(after (pointing s4 d6)),(after (pointing s4 d7)),(after (pointing s4 d8)),(after (pointing s4 d9)),(after (pointing s5 d1)),(after (pointing s5 d10)),(after (pointing s5 d11)),(after (pointing s5 d12)),(after (pointing s5 d13)),(after (pointing s5 d14)),(after (pointing s5 d15)),(after (pointing s5 d2)),(after (pointing s5 d3)),(after (pointing s5 d4)),(after (pointing s5 d5)),(after (pointing s5 d6)),(after (pointing s5 d7)),(after (pointing s5 d8)),(after (pointing s5 d9)),(after (power-avail s1)),(after (power-avail s2)),(after (power-avail s3)),(after (power-avail s4)),(after (power-avail s5)),(after (power-on i1)),(after (power-on i2)),(after (power-on i3)),(after (power-on i4)),(after (power-on i5)),(after (power-on s1)),(after (power-on s2)),(after (power-on s3)),(after (power-on s4)),(after (power-on s5)),(after (supports i1 m1)),(after (supports i1 m2)),(after (supports i1 m3)),(after (supports i1 m4)),(after (supports i1 m5)),(after (supports i2 m1)),(after (supports i2 m2)),(after (supports i2 m3)),(after (supports i2 m4)),(after (supports i2 m5)),(after (supports i3 m1)),(after (supports i3 m2)),(after (supports i3 m3)),(after (supports i3 m4)),(after (supports i3 m5)),(after (supports i4 m1)),(after (supports i4 m2)),(after (supports i4 m3)),(after (supports i4 m4)),(after (supports i4 m5)),(after (supports i5 m1)),(after (supports i5 m2)),(after (supports i5 m3)),(after (supports i5 m4)),(after (supports i5 m5)),Decision
True,False,True,False,False,True,True,False,True,False,True,False,False,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,True,True,False,False,True,True,False,False,False,True,True,True,False,False,(turn-to s3 d10 d2)
True,False,True,False,False,True,True,False,True,False,True,False,False,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,True,True,False,False,True,True,False,False,False,True,True,True,False,False,(turn-to s5 d9 d12)
True,False,True,False,False,True,True,False,True,False,True,False,False,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,True,True,False,False,True,True,False,False,False,True,True,True,False,False,(turn-to s2 d1 d5)
True,False,True,False,False,True,True,False,True,False,True,False,False,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,True,True,False,False,True,True,False,False,False,True,True,True,False,False,(turn-to s2 d5 d15)
True,False,True,False,False,True,True,False,True,False,True,False,False,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,True,True,False,False,True,True,False,False,False,True,True,True,False,False,(turn-to s3 d2 d5)
True,False,True,False,False,True,True,False,True,False,True,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,True,True,False,False,True,True,False,False,False,True,True,True,False,False,(turn-to s1 d2 d9)
True,False,True,False,False,True,True,False,True,False,True,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,True,True,False,False,True,True,False,False,False,True,True,True,False,False,(switch-off i4 s3)
True,False,True,False,False,True,True,False,True,False,True,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,True,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,True,True,False,False,True,True,False,False,False,True,True,True,False,False,(turn-to s5 d12 d8)
True,False,True,False,False,True,True,False,True,False,True,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,True,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,True,True,False,False,True,True,False,False,False,True,True,True,False,False,(turn-to s2 d15 d1)
True,False,True,False,False,True,True,False,True,False,True,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,True,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,True,True,False,False,True,True,False,False,False,True,True,True,False,False,(turn-to s2 d1 d5)
